shipment_id,duration_seconds,distance_meters
SHP_640,87860.2,2070680.4
SHP_641,174064.2,4416706.0
SHP_644,170618.8,4343961.5
SHP_649,134729.2,3334373.3
SHP_650,110248.8,2694137.3
SHP_652,44563.2,1087079.3
SHP_656,1750.9,27104.0
SHP_659,79335.5,1886956.6
SHP_660,87828.9,2129325.0
SHP_662,80419.0,1908853.0
SHP_663,133682.7,3310257.3
SHP_665,67001.4,1563828.0
SHP_668,19508.1,462855.3
SHP_671,88723.2,2095116.3
SHP_672,65349.7,1583555.1
SHP_673,172030.1,4371287.0
SHP_674,174629.4,4436830.5
SHP_676,46260.6,1111911.0
SHP_678,172671.0,4386968.5
SHP_680,86177.7,2046732.6
SHP_681,95750.4,2258631.0
SHP_682,89236.1,2165258.0
SHP_684,170209.1,4330604.0
SHP_687,48812.6,1174470.5
SHP_688,195872.2,4878562.0
SHP_690,79339.4,1892750.5
SHP_693,167329.1,4267590.0
SHP_695,80494.1,1909335.8
SHP_697,172692.4,4386647.0
SHP_698,168524.4,4285750.0
SHP_699,103708.9,2408143.0
SHP_701,86523.4,2053822.9
SHP_705,81646.2,1981588.0
SHP_706,80728.8,1922264.3
SHP_707,88631.3,2136589.0
SHP_709,148614.5,3790311.8
SHP_710,87313.2,2071368.5
SHP_711,171529.5,4364872.5
SHP_716,90771.7,2150526.0
SHP_717,55123.0,1303479.4
SHP_721,99704.0,2415080.5
SHP_722,172738.5,4391909.0
SHP_725,133630.9,3309231.0
SHP_730,44179.2,1076833.6
SHP_731,86665.1,2058746.3
SHP_736,83760.9,1983018.5
SHP_738,175320.7,4450920.0
SHP_740,86858.2,2057529.9
SHP_746,71514.5,1703075.8
SHP_753,87110.7,2060647.9
SHP_755,99304.8,2319118.5
SHP_756,173646.6,4414863.0
SHP_757,173377.4,4398717.0
SHP_758,101901.3,2409683.0
SHP_759,91444.0,2167953.8
SHP_761,19508.1,462855.3
SHP_765,173501.5,4408681.5
SHP_766,148761.3,3789963.8
SHP_768,167284.8,4266330.0
SHP_769,96948.7,2292251.0
SHP_770,78071.6,1912238.1
SHP_771,195966.0,4872931.0
SHP_772,87786.3,2097026.4
SHP_773,215154.6,5329868.0
SHP_774,56398.3,1385960.4
SHP_776,169190.5,4308427.0
SHP_782,95177.4,2254742.3
SHP_783,79523.3,1943867.4
SHP_786,135977.7,3369447.8
SHP_787,162983.2,4071929.5
SHP_788,180436.8,4569876.5
SHP_791,173611.9,4407207.0
SHP_792,82684.7,1986729.0
SHP_794,90771.7,2150526.0
SHP_795,92436.0,2217564.3
SHP_797,193962.3,4823309.0
SHP_800,175217.3,4452261.0
SHP_802,65349.7,1583555.1
SHP_803,197224.9,4914708.0
SHP_806,87097.7,2060679.5
SHP_808,78829.7,1855841.8
SHP_809,42215.8,1022092.8
SHP_810,53406.8,1268465.0
SHP_812,100025.7,2454280.0
SHP_813,172432.8,4379968.5
SHP_814,122832.2,3118366.8
SHP_815,92452.6,2164136.5
SHP_817,98360.6,2300644.5
SHP_821,1331.8,21074.2
SHP_822,172519.1,4384323.5
SHP_825,77897.8,1899777.9
SHP_826,170413.6,4336483.5
SHP_827,86826.9,2058821.4
SHP_840,149086.3,3802294.3
SHP_841,763.6,11584.6
SHP_842,94271.1,2230195.0
SHP_843,103601.1,2414016.8
SHP_846,71199.4,1723389.5
SHP_849,92194.2,2183366.0
SHP_850,91598.1,2172676.5
SHP_855,173991.6,4415232.0
SHP_858,148696.0,3789227.0
SHP_859,87664.9,2070154.8
SHP_860,82737.6,2006483.8
SHP_861,100783.6,2351770.5
SHP_863,91521.8,2169613.3
SHP_865,213537.3,5362817.0
SHP_866,172184.3,4375481.5
SHP_867,173727.0,4414553.0
SHP_868,212909.4,5337524.0
SHP_869,45216.2,1103576.8
SHP_870,125212.4,3176548.5
SHP_871,594.7,7916.0
SHP_875,95715.5,2251729.3
SHP_877,87419.6,2064113.5
SHP_879,87013.8,2059099.3
SHP_880,96824.6,2268463.5
SHP_883,173540.5,4407187.0
SHP_884,149360.4,3808708.0
SHP_886,84754.0,1999330.8
SHP_887,87913.3,2077666.8
SHP_888,94465.2,2231311.5
SHP_891,86785.5,2061830.3
SHP_893,125210.2,3177198.5
SHP_895,92951.0,2230044.8
SHP_898,174457.4,4434390.5
SHP_899,87276.4,2062161.0
SHP_900,172347.8,4376207.0
SHP_904,172350.7,4378045.5
SHP_905,78106.2,1911858.5
SHP_906,195915.6,4873406.0
SHP_907,194197.6,4826764.0
SHP_908,70770.9,1688059.1
SHP_910,83425.9,1978743.0
SHP_915,212052.4,5327247.0
SHP_917,88066.9,2072551.5
SHP_920,174010.9,4416459.0
SHP_923,92436.0,2217564.3
SHP_924,98782.0,2383364.3
SHP_926,170523.0,4336624.0
SHP_927,100783.6,2351770.5
SHP_928,125065.1,3176216.5
SHP_929,149086.3,3802294.3
SHP_931,176946.8,4485554.5
SHP_934,89360.3,2191560.0
SHP_935,90673.6,2157262.0
SHP_939,117957.6,2830471.0
SHP_943,86074.3,2092030.6
SHP_946,171271.7,4342834.5
SHP_947,64963.8,1549998.3
SHP_948,87167.9,2069278.4
SHP_952,87167.9,2069278.4
SHP_956,45174.0,1097778.1
SHP_958,87709.3,2076782.3
SHP_959,177777.5,4442544.5
SHP_966,63833.3,1543604.8
SHP_968,170557.3,4343279.0
SHP_969,90712.9,2154108.3
SHP_970,91355.5,2241849.5
SHP_977,84067.0,1996991.8
SHP_978,85985.8,2013776.0
SHP_979,182661.0,4561742.0
SHP_981,133729.2,3312231.0
SHP_983,172129.3,4375230.0
